Date,Adj Close_MSKY.JK,Close_MSKY.JK,High_MSKY.JK,Low_MSKY.JK,Open_MSKY.JK,Volume_MSKY.JK
2025-10-13,87.0,87.0,89.0,83.0,87.0,13713100
2025-10-14,85.0,85.0,90.0,84.0,88.0,11500300
2025-10-15,84.0,84.0,87.0,82.0,86.0,8752500
2025-10-16,84.0,84.0,85.0,81.0,83.0,6712900
2025-10-17,78.0,78.0,84.0,76.0,84.0,15022500
2025-10-20,78.0,78.0,81.0,76.0,77.0,6731300
2025-10-21,87.0,87.0,87.0,76.0,78.0,11945300
2025-10-22,84.0,84.0,86.0,83.0,86.0,7084500
2025-10-23,85.0,85.0,89.0,82.0,84.0,8076900
2025-10-24,83.0,83.0,86.0,83.0,85.0,4601400
2025-10-27,81.0,81.0,86.0,78.0,83.0,26393400
2025-10-28,81.0,81.0,83.0,80.0,81.0,2314100
2025-10-29,80.0,80.0,82.0,80.0,81.0,3151400
2025-10-30,81.0,81.0,83.0,79.0,80.0,3561800
2025-10-31,80.0,80.0,82.0,80.0,81.0,1530600
2025-11-03,80.0,80.0,81.0,79.0,79.0,2625900
2025-11-04,80.0,80.0,81.0,78.0,80.0,4005800
2025-11-05,78.0,78.0,82.0,78.0,80.0,17889200
2025-11-06,81.0,81.0,87.0,79.0,79.0,27318100
2025-11-07,80.0,80.0,82.0,80.0,82.0,3606600
2025-11-10,82.0,82.0,82.0,80.0,81.0,3327300
2025-11-11,81.0,81.0,83.0,80.0,81.0,5442600
2025-11-12,80.0,80.0,82.0,80.0,81.0,4477800
2025-11-13,85.0,85.0,98.0,81.0,82.0,165454400
2025-11-14,82.0,82.0,91.0,81.0,88.0,19248200
2025-11-17,84.0,84.0,86.0,81.0,82.0,20527400
2025-11-18,83.0,83.0,85.0,82.0,83.0,7157700
2025-11-19,82.0,82.0,84.0,81.0,83.0,6501800
2025-11-20,82.0,82.0,84.0,81.0,82.0,5915800
2025-11-21,82.0,82.0,83.0,81.0,82.0,2744300
2025-11-24,81.0,81.0,83.0,81.0,82.0,4350100
2025-11-25,82.0,82.0,85.0,79.0,82.0,24023300
2025-11-26,81.0,81.0,82.0,80.0,82.0,8999300
2025-11-27,80.0,80.0,81.0,80.0,81.0,4539200
2025-11-28,81.0,81.0,84.0,80.0,81.0,13165900
2025-12-01,79.0,79.0,81.0,79.0,80.0,7216000
2025-12-02,80.0,80.0,81.0,79.0,79.0,4804800
2025-12-03,81.0,81.0,83.0,79.0,80.0,26225200
2025-12-04,80.0,80.0,82.0,80.0,82.0,6902500
2025-12-05,84.0,84.0,85.0,80.0,81.0,12827000
2025-12-08,83.0,83.0,85.0,82.0,84.0,6361200
2025-12-09,86.0,86.0,86.0,82.0,83.0,15812200
2025-12-10,85.0,85.0,89.0,84.0,88.0,31085400
2025-12-11,83.0,83.0,84.0,81.0,84.0,15436900
2025-12-12,82.0,82.0,85.0,81.0,83.0,6160700
2025-12-15,83.0,83.0,86.0,82.0,83.0,14124800
2025-12-16,83.0,83.0,84.0,82.0,83.0,4577600
2025-12-17,81.0,81.0,84.0,81.0,82.0,6395400
2025-12-18,83.0,83.0,86.0,81.0,82.0,21383100
2025-12-19,82.0,82.0,83.0,81.0,82.0,4572900
2025-12-22,80.0,80.0,83.0,80.0,83.0,6848100
2025-12-23,80.0,80.0,81.0,79.0,80.0,5159500
2025-12-24,80.0,80.0,81.0,79.0,81.0,6675700
