Date,Adj Close_PANI.JK,Close_PANI.JK,High_PANI.JK,Low_PANI.JK,Open_PANI.JK,Volume_PANI.JK
2025-10-13,13600.0,13600.0,14575.0,13525.0,14350.0,25691500
2025-10-14,14000.0,14000.0,14500.0,13600.0,14075.0,21118400
2025-10-15,14075.0,14075.0,14350.0,13825.0,14300.0,9047900
2025-10-16,14150.0,14150.0,14175.0,13975.0,14100.0,4350400
2025-10-17,14050.0,14050.0,14150.0,13900.0,14150.0,6344000
2025-10-20,14425.0,14425.0,14775.0,14250.0,14500.0,10491400
2025-10-21,14350.0,14350.0,14425.0,14150.0,14425.0,6298900
2025-10-22,14600.0,14600.0,14625.0,14250.0,14400.0,10404600
2025-10-23,14300.0,14300.0,14550.0,14300.0,14550.0,5474100
2025-10-24,14025.0,14025.0,14325.0,14025.0,14175.0,6649000
2025-10-27,13700.0,13700.0,14200.0,13100.0,14075.0,22418100
2025-10-28,13500.0,13500.0,13700.0,13300.0,13700.0,4888600
2025-10-29,14000.0,14000.0,14000.0,13375.0,13525.0,8903800
2025-10-30,14000.0,14000.0,14075.0,13675.0,14000.0,5586900
2025-10-31,14050.0,14050.0,14300.0,13975.0,14125.0,6870000
2025-11-03,14025.0,14025.0,14150.0,13925.0,14125.0,3255700
2025-11-04,14025.0,14025.0,14075.0,13900.0,14050.0,3513900
2025-11-05,14300.0,14300.0,14300.0,13900.0,14025.0,3521900
2025-11-06,14275.0,14275.0,14500.0,13925.0,14500.0,6717700
2025-11-07,14575.0,14575.0,14825.0,14300.0,14325.0,14359800
2025-11-10,14375.0,14375.0,14675.0,14325.0,14675.0,5137400
2025-11-11,14300.0,14300.0,14425.0,14100.0,14400.0,6825300
2025-11-12,14200.0,14200.0,14475.0,14150.0,14350.0,6343000
2025-11-13,14200.0,14200.0,14350.0,14100.0,14175.0,3972800
2025-11-14,14725.0,14725.0,15700.0,14175.0,14175.0,42106500
2025-11-17,14400.0,14400.0,15200.0,14350.0,14725.0,30019100
2025-11-18,14225.0,14225.0,14475.0,14225.0,14400.0,5674800
2025-11-19,14000.0,14000.0,14250.0,13700.0,14225.0,14080600
2025-11-20,13900.0,13900.0,14075.0,13900.0,14000.0,5521400
2025-11-21,14025.0,14025.0,14350.0,13825.0,13875.0,6807500
2025-11-24,14275.0,14275.0,14425.0,14025.0,14100.0,7246000
2025-11-25,13900.0,13900.0,14125.0,13875.0,13900.0,10875900
2025-11-26,13775.0,13775.0,13975.0,13750.0,13925.0,8429200
2025-11-27,13850.0,13850.0,14100.0,13600.0,13775.0,9229700
2025-11-28,14025.0,14025.0,14300.0,13875.0,13900.0,12919700
2025-12-01,13414.9853515625,13414.9853515625,13987.423828125,13240.7646484375,13962.53515625,26123649
2025-12-02,13614.0947265625,13614.0947265625,13838.091796875,13240.7646484375,13414.9853515625,10547777
2025-12-03,13638.9833984375,13638.9833984375,13862.98046875,13539.4287109375,13663.8720703125,8027553
2025-12-04,13638.9833984375,13638.9833984375,13738.5380859375,13589.2060546875,13688.7607421875,3148422
2025-12-05,13614.0947265625,13614.0947265625,13663.8720703125,13489.6513671875,13638.9833984375,4255051
2025-12-08,13838.091796875,13838.091796875,14136.755859375,13713.6494140625,13713.6494140625,15009649
2025-12-09,13625.0,13625.0,13950.0,13600.0,13900.0,6179500
2025-12-10,13425.0,13425.0,13700.0,13400.0,13625.0,7403000
2025-12-11,13300.0,13300.0,13600.0,13200.0,13500.0,6409600
2025-12-12,13700.0,13700.0,14125.0,13275.0,13475.0,8246500
2025-12-15,13425.0,13425.0,13800.0,13425.0,13775.0,7746400
2025-12-16,13475.0,13475.0,13600.0,13325.0,13425.0,5612800
2025-12-17,13650.0,13650.0,14000.0,13475.0,13600.0,9363800
2025-12-18,13300.0,13300.0,13750.0,13275.0,13750.0,8158600
2025-12-19,13200.0,13200.0,13475.0,13125.0,13325.0,6750900
2025-12-22,12225.0,12225.0,13200.0,11825.0,13200.0,35202200
2025-12-23,11775.0,11775.0,12225.0,11575.0,12225.0,19008300
2025-12-24,11750.0,11750.0,12025.0,11550.0,11775.0,11664200
