Date,Adj Close_PGEO.JK,Close_PGEO.JK,High_PGEO.JK,Low_PGEO.JK,Open_PGEO.JK,Volume_PGEO.JK
2025-10-13,1460.0,1460.0,1485.0,1420.0,1435.0,64747300
2025-10-14,1360.0,1360.0,1465.0,1330.0,1460.0,108660100
2025-10-15,1330.0,1330.0,1375.0,1320.0,1370.0,49620800
2025-10-16,1325.0,1325.0,1360.0,1325.0,1340.0,39300800
2025-10-17,1270.0,1270.0,1335.0,1210.0,1330.0,130458700
2025-10-20,1305.0,1305.0,1310.0,1275.0,1275.0,30066400
2025-10-21,1335.0,1335.0,1350.0,1300.0,1305.0,46905900
2025-10-22,1310.0,1310.0,1345.0,1305.0,1345.0,22476800
2025-10-23,1350.0,1350.0,1350.0,1305.0,1305.0,23376100
2025-10-24,1330.0,1330.0,1365.0,1330.0,1350.0,21598500
2025-10-27,1285.0,1285.0,1335.0,1260.0,1325.0,39861000
2025-10-28,1325.0,1325.0,1330.0,1280.0,1295.0,19268200
2025-10-29,1315.0,1315.0,1330.0,1305.0,1325.0,21804200
2025-10-30,1290.0,1290.0,1315.0,1285.0,1310.0,31527300
2025-10-31,1305.0,1305.0,1305.0,1280.0,1290.0,33755100
2025-11-03,1300.0,1300.0,1350.0,1290.0,1350.0,26173700
2025-11-04,1255.0,1255.0,1305.0,1255.0,1300.0,40056300
2025-11-05,1270.0,1270.0,1280.0,1235.0,1250.0,32903900
2025-11-06,1275.0,1275.0,1290.0,1255.0,1270.0,29357700
2025-11-07,1270.0,1270.0,1275.0,1260.0,1275.0,22450600
2025-11-10,1260.0,1260.0,1285.0,1260.0,1270.0,26120200
2025-11-11,1245.0,1245.0,1270.0,1240.0,1270.0,31489500
2025-11-12,1240.0,1240.0,1250.0,1230.0,1245.0,27291000
2025-11-13,1205.0,1205.0,1240.0,1205.0,1230.0,53210500
2025-11-14,1180.0,1180.0,1205.0,1175.0,1200.0,54327700
2025-11-17,1200.0,1200.0,1215.0,1180.0,1180.0,29023300
2025-11-18,1190.0,1190.0,1200.0,1175.0,1200.0,16825900
2025-11-19,1190.0,1190.0,1210.0,1190.0,1195.0,14687300
2025-11-20,1200.0,1200.0,1220.0,1195.0,1200.0,16900600
2025-11-21,1210.0,1210.0,1225.0,1190.0,1195.0,21231500
2025-11-24,1195.0,1195.0,1220.0,1180.0,1215.0,27021900
2025-11-25,1215.0,1215.0,1215.0,1190.0,1200.0,19224800
2025-11-26,1210.0,1210.0,1210.0,1195.0,1210.0,12949700
2025-11-27,1185.0,1185.0,1210.0,1180.0,1210.0,19247100
2025-11-28,1160.0,1160.0,1190.0,1155.0,1185.0,27607600
2025-12-01,1150.0,1150.0,1170.0,1140.0,1160.0,27566500
2025-12-02,1165.0,1165.0,1180.0,1150.0,1150.0,22624200
2025-12-03,1175.0,1175.0,1195.0,1155.0,1170.0,21958000
2025-12-04,1160.0,1160.0,1195.0,1155.0,1190.0,24008600
2025-12-05,1215.0,1215.0,1245.0,1170.0,1170.0,104003600
2025-12-08,1195.0,1195.0,1235.0,1195.0,1225.0,41385600
2025-12-09,1165.0,1165.0,1200.0,1165.0,1195.0,25449600
2025-12-10,1170.0,1170.0,1190.0,1165.0,1165.0,25166700
2025-12-11,1160.0,1160.0,1195.0,1150.0,1175.0,28610600
2025-12-12,1165.0,1165.0,1175.0,1150.0,1175.0,17277400
2025-12-15,1165.0,1165.0,1195.0,1160.0,1160.0,25563000
2025-12-16,1180.0,1180.0,1180.0,1160.0,1170.0,13147400
2025-12-17,1155.0,1155.0,1185.0,1150.0,1180.0,28648100
2025-12-18,1140.0,1140.0,1165.0,1140.0,1165.0,20745600
2025-12-19,1125.0,1125.0,1150.0,1120.0,1145.0,18505300
2025-12-22,1115.0,1115.0,1130.0,1110.0,1125.0,14665700
2025-12-23,1110.0,1110.0,1120.0,1105.0,1115.0,15044400
2025-12-24,1085.0,1085.0,1120.0,1080.0,1115.0,30482500
