Date,Adj Close_PTRO.JK,Close_PTRO.JK,High_PTRO.JK,Low_PTRO.JK,Open_PTRO.JK,Volume_PTRO.JK
2025-10-13,7050.0,7050.0,7325.0,6900.0,6950.0,60714900
2025-10-14,6700.0,6700.0,7325.0,6000.0,7250.0,122711400
2025-10-15,6700.0,6700.0,7075.0,6350.0,6700.0,73494000
2025-10-16,7000.0,7000.0,7150.0,6825.0,6900.0,53577100
2025-10-17,6650.0,6650.0,7100.0,6575.0,7075.0,80748000
2025-10-20,6775.0,6775.0,7100.0,6700.0,6900.0,54061800
2025-10-21,6875.0,6875.0,7100.0,6775.0,6775.0,45997300
2025-10-22,7500.0,7500.0,7500.0,6800.0,7075.0,137188300
2025-10-23,7250.0,7250.0,7750.0,7150.0,7600.0,104234900
2025-10-24,7150.0,7150.0,7550.0,7125.0,7250.0,48095000
2025-10-27,6475.0,6475.0,7375.0,6100.0,7225.0,357028400
2025-10-28,6550.0,6550.0,6800.0,6175.0,6575.0,92052500
2025-10-29,6950.0,6950.0,6950.0,6575.0,6600.0,54041600
2025-10-30,6800.0,6800.0,7050.0,6800.0,7000.0,28305600
2025-10-31,6800.0,6800.0,6950.0,6700.0,6850.0,26655800
2025-11-03,7300.0,7300.0,7375.0,6800.0,6800.0,69127700
2025-11-04,7300.0,7300.0,7750.0,7200.0,7400.0,139908200
2025-11-05,7600.0,7600.0,7600.0,7125.0,7250.0,76693400
2025-11-06,7925.0,7925.0,8125.0,7675.0,8050.0,118597100
2025-11-07,8550.0,8550.0,8725.0,7900.0,7950.0,114080900
2025-11-10,8800.0,8800.0,9050.0,8550.0,8650.0,80167200
2025-11-11,8700.0,8700.0,8875.0,8500.0,8800.0,40530800
2025-11-12,8800.0,8800.0,9075.0,8625.0,8750.0,43347600
2025-11-13,9100.0,9100.0,9250.0,8825.0,8950.0,50682900
2025-11-14,9025.0,9025.0,9250.0,8975.0,9125.0,28722300
2025-11-17,9075.0,9075.0,9225.0,8925.0,9025.0,21574700
2025-11-18,8750.0,8750.0,9075.0,8700.0,9075.0,32629100
2025-11-19,8925.0,8925.0,9125.0,8750.0,8750.0,32515000
2025-11-20,8950.0,8950.0,9075.0,8925.0,8950.0,14593300
2025-11-21,8950.0,8950.0,8950.0,8800.0,8925.0,16033600
2025-11-24,9825.0,9825.0,9825.0,8975.0,9050.0,103815300
2025-11-25,9750.0,9750.0,10050.0,9525.0,9825.0,54413200
2025-11-26,9825.0,9825.0,10050.0,9775.0,9825.0,37582500
2025-11-27,9950.0,9950.0,10125.0,9900.0,9950.0,33059700
2025-11-28,10000.0,10000.0,10050.0,9650.0,9900.0,40149800
2025-12-01,10025.0,10025.0,10150.0,9925.0,10100.0,27897700
2025-12-02,10225.0,10225.0,10500.0,10050.0,10050.0,43719200
2025-12-03,10325.0,10325.0,10500.0,10225.0,10275.0,20071500
2025-12-04,10375.0,10375.0,10450.0,10200.0,10375.0,18895000
2025-12-05,10750.0,10750.0,10875.0,10375.0,10375.0,34024300
2025-12-08,10775.0,10775.0,10850.0,10600.0,10800.0,25780300
2025-12-09,10400.0,10400.0,10825.0,10100.0,10775.0,41691000
2025-12-10,10025.0,10025.0,10500.0,10000.0,10400.0,37439900
2025-12-11,11025.0,11025.0,11150.0,10250.0,10500.0,89726100
2025-12-12,10950.0,10950.0,11250.0,10800.0,11000.0,28659500
2025-12-15,10500.0,10500.0,11000.0,10225.0,10925.0,39582400
2025-12-16,10725.0,10725.0,10775.0,10425.0,10500.0,15948300
2025-12-17,10850.0,10850.0,10975.0,10650.0,10775.0,29059500
2025-12-18,10850.0,10850.0,11225.0,10500.0,10925.0,52667900
2025-12-19,10775.0,10775.0,10975.0,10650.0,10900.0,16957400
2025-12-22,10700.0,10700.0,10850.0,10625.0,10775.0,10485300
2025-12-23,10475.0,10475.0,10725.0,10475.0,10700.0,17254700
2025-12-24,10450.0,10450.0,10650.0,10150.0,10425.0,37645200
