Date,Adj Close_SCMA.JK,Close_SCMA.JK,High_SCMA.JK,Low_SCMA.JK,Open_SCMA.JK,Volume_SCMA.JK
2025-10-13,413.6864929199219,424.0,452.0,422.0,428.0,192778900
2025-10-14,392.22161865234375,402.0,426.0,382.0,424.0,249336400
2025-10-15,400.02703857421875,410.0,414.0,380.0,414.0,409304900
2025-10-16,382.4648742675781,392.0,418.0,392.0,410.0,189938700
2025-10-17,349.2919006347656,358.0,396.0,356.0,394.0,246611200
2025-10-20,361.0,370.0,376.0,342.0,364.0,184667800
2025-10-21,359.04864501953125,368.0,376.0,364.0,374.0,95720100
2025-10-22,351.2432556152344,360.0,374.0,356.0,368.0,113976600
2025-10-23,343.4378356933594,352.0,372.0,350.0,360.0,212511200
2025-10-24,337.58380126953125,346.0,358.0,344.0,352.0,84866000
2025-10-27,316.1189270019531,324.0,348.0,314.0,346.0,242723800
2025-10-28,321.9729919433594,330.0,338.0,326.0,330.0,223197400
2025-10-29,337.58380126953125,346.0,348.0,330.0,332.0,134087600
2025-10-30,339.53515625,348.0,348.0,336.0,346.0,79688900
2025-10-31,329.77838134765625,338.0,352.0,338.0,350.0,63932200
2025-11-03,359.04864501953125,368.0,368.0,340.0,342.0,159217900
2025-11-04,353.1946105957031,362.0,372.0,352.0,368.0,114309700
2025-11-05,355.1459655761719,364.0,364.0,352.0,356.0,56763800
2025-11-06,357.0973205566406,366.0,370.0,362.0,364.0,59013400
2025-11-07,372.7081298828125,382.0,396.0,364.0,370.0,324301200
2025-11-10,368.805419921875,378.0,384.0,374.0,382.0,131117500
2025-11-11,357.0973205566406,366.0,384.0,362.0,384.0,96290300
2025-11-12,359.04864501953125,368.0,380.0,364.0,370.0,119902300
2025-11-13,351.2432556152344,360.0,370.0,352.0,368.0,89505400
2025-11-14,335.6324462890625,344.0,362.0,342.0,360.0,120202700
2025-11-17,355.1459655761719,364.0,370.0,350.0,350.0,155556700
2025-11-18,361.0,370.0,380.0,364.0,368.0,265539500
2025-11-19,368.0,368.0,368.0,360.0,366.0,51733800
2025-11-20,360.0,360.0,372.0,356.0,370.0,60710000
2025-11-21,380.0,380.0,386.0,362.0,364.0,290870100
2025-11-24,382.0,382.0,386.0,376.0,382.0,113226300
2025-11-25,390.0,390.0,408.0,386.0,392.0,294610800
2025-11-26,380.0,380.0,392.0,378.0,390.0,118035600
2025-11-27,388.0,388.0,392.0,380.0,382.0,128359900
2025-11-28,386.0,386.0,390.0,380.0,388.0,44397500
2025-12-01,376.0,376.0,388.0,376.0,386.0,49294300
2025-12-02,404.0,404.0,406.0,376.0,376.0,268377200
2025-12-03,406.0,406.0,416.0,396.0,406.0,199606200
2025-12-04,404.0,404.0,412.0,394.0,406.0,107862400
2025-12-05,400.0,400.0,414.0,398.0,402.0,124072600
2025-12-08,388.0,388.0,408.0,384.0,406.0,110041100
2025-12-09,380.0,380.0,390.0,378.0,388.0,131803800
2025-12-10,398.0,398.0,398.0,376.0,382.0,184144700
2025-12-11,426.0,426.0,454.0,398.0,400.0,734354900
2025-12-12,428.0,428.0,442.0,416.0,436.0,253692500
2025-12-15,428.0,428.0,448.0,410.0,428.0,209637400
2025-12-16,442.0,442.0,446.0,428.0,434.0,182313100
2025-12-17,410.0,410.0,448.0,410.0,448.0,252414000
2025-12-18,394.0,394.0,426.0,384.0,412.0,190442500
2025-12-19,352.0,352.0,398.0,350.0,398.0,364503500
2025-12-22,340.0,340.0,360.0,326.0,358.0,322209300
2025-12-23,330.0,330.0,354.0,330.0,340.0,254061700
2025-12-24,332.0,332.0,342.0,328.0,334.0,101810200
