Date,Adj Close_SRTG.JK,Close_SRTG.JK,High_SRTG.JK,Low_SRTG.JK,Open_SRTG.JK,Volume_SRTG.JK
2013-06-26,724.138671875,910.0,1100.0,910.0,1100.0,15
2013-06-27,740.0538940429688,930.0,955.0,890.0,900.0,33145000
2013-06-28,728.1175537109375,915.0,940.0,915.0,930.0,8320000
2013-07-01,728.1175537109375,915.0,940.0,910.0,915.0,4787500
2013-07-02,732.0962524414062,920.0,930.0,920.0,925.0,5312500
2013-07-03,724.138671875,910.0,925.0,905.0,925.0,5317500
2013-07-04,728.1175537109375,915.0,915.0,910.0,910.0,1902500
2013-07-05,740.0538940429688,930.0,935.0,920.0,920.0,3272500
2013-07-08,740.0538940429688,930.0,930.0,930.0,930.0,4715000
2013-07-09,740.0538940429688,930.0,935.0,930.0,930.0,1300000
2013-07-10,740.0538940429688,930.0,930.0,930.0,930.0,2742500
2013-07-11,740.0538940429688,930.0,935.0,930.0,935.0,512500
2013-07-12,751.9901733398438,945.0,955.0,930.0,930.0,975000
2013-07-15,751.9901733398438,945.0,945.0,940.0,940.0,1022500
2013-07-16,748.0114135742188,940.0,950.0,935.0,950.0,222500
2013-07-17,748.0114135742188,940.0,945.0,940.0,940.0,592500
2013-07-18,748.0114135742188,940.0,940.0,940.0,940.0,745000
2013-07-19,755.9690551757812,950.0,960.0,945.0,945.0,967500
2013-07-22,763.9266357421875,960.0,965.0,955.0,960.0,1177500
2013-07-23,763.9266357421875,960.0,965.0,960.0,965.0,220000
2013-07-24,755.9690551757812,950.0,955.0,950.0,955.0,132500
2013-07-25,779.8417358398438,980.0,990.0,955.0,955.0,2097500
2013-07-26,763.9266357421875,960.0,975.0,960.0,975.0,717500
2013-07-29,763.9266357421875,960.0,960.0,955.0,960.0,367500
2013-07-30,763.9266357421875,960.0,960.0,960.0,960.0,482500
2013-07-31,751.9901733398438,945.0,960.0,940.0,960.0,285000
2013-08-01,732.0962524414062,920.0,945.0,920.0,945.0,60000
2013-08-02,716.1812133789062,900.0,920.0,885.0,920.0,600000
2013-08-12,744.0326538085938,935.0,935.0,935.0,935.0,2500
2013-08-13,732.0962524414062,920.0,920.0,920.0,920.0,25000
2013-08-14,724.138671875,910.0,910.0,905.0,905.0,87500
2013-08-15,740.0538940429688,930.0,930.0,905.0,905.0,432500
2013-08-16,740.0538940429688,930.0,930.0,930.0,930.0,432500
2013-08-19,712.2024536132812,895.0,925.0,890.0,925.0,175000
2013-08-20,700.2660522460938,880.0,885.0,880.0,885.0,495000
2013-08-21,696.2872924804688,875.0,880.0,875.0,880.0,20000
2013-08-22,732.0962524414062,920.0,920.0,860.0,865.0,5107500
2013-08-23,732.0962524414062,920.0,920.0,870.0,875.0,5390000
2013-08-26,732.0962524414062,920.0,920.0,915.0,915.0,5080000
2013-08-27,732.0962524414062,920.0,920.0,870.0,875.0,7217500
2013-08-28,732.0962524414062,920.0,920.0,920.0,920.0,7217500
2013-08-29,732.0962524414062,920.0,920.0,920.0,920.0,185000
2013-08-30,732.0962524414062,920.0,920.0,920.0,920.0,250000
2013-09-02,716.1812133789062,900.0,930.0,900.0,930.0,7500
2013-09-03,740.0538940429688,930.0,930.0,900.0,900.0,525000
2013-09-04,740.0538940429688,930.0,930.0,930.0,930.0,525000
2013-09-05,795.7569580078125,1000.0,1000.0,915.0,930.0,297500
2013-09-06,740.0538940429688,930.0,930.0,930.0,930.0,2500
2013-09-09,744.0326538085938,935.0,945.0,935.0,945.0,52500
2013-09-10,728.1175537109375,915.0,950.0,905.0,950.0,32500
2013-09-11,700.2660522460938,880.0,920.0,880.0,920.0,22500
2013-09-12,748.0114135742188,940.0,940.0,930.0,930.0,45000
2013-09-13,748.0114135742188,940.0,940.0,940.0,940.0,45000
2013-09-16,748.0114135742188,940.0,940.0,940.0,940.0,45000
2013-09-17,732.0962524414062,920.0,935.0,920.0,935.0,485000
2013-09-18,732.0962524414062,920.0,920.0,920.0,920.0,485000
2013-09-19,755.9690551757812,950.0,950.0,915.0,915.0,12500
2013-09-20,755.9690551757812,950.0,950.0,950.0,950.0,12500
2013-09-23,716.1812133789062,900.0,900.0,900.0,900.0,7500
2013-09-24,748.0114135742188,940.0,940.0,900.0,900.0,30000
2013-09-25,748.0114135742188,940.0,940.0,940.0,940.0,30000
2013-09-26,748.0114135742188,940.0,940.0,920.0,940.0,172500
2013-09-27,748.0114135742188,940.0,940.0,940.0,940.0,172500
2013-09-30,748.0114135742188,940.0,940.0,940.0,940.0,172500
2013-10-01,748.0114135742188,940.0,940.0,880.0,880.0,20000
2013-10-02,755.9690551757812,950.0,950.0,940.0,940.0,5000
2013-10-03,755.9690551757812,950.0,950.0,940.0,940.0,82500
2013-10-04,755.9690551757812,950.0,950.0,950.0,950.0,242500
2013-10-07,748.0114135742188,940.0,950.0,940.0,950.0,12500
2013-10-08,748.0114135742188,940.0,940.0,940.0,940.0,12500
2013-10-09,748.0114135742188,940.0,940.0,925.0,925.0,7500
2013-10-10,740.0538940429688,930.0,930.0,895.0,920.0,250000
2013-10-11,740.0538940429688,930.0,930.0,930.0,930.0,2500
2013-10-16,700.2660522460938,880.0,900.0,880.0,900.0,25000
