Date,Adj Close_TEBE.JK,Close_TEBE.JK,High_TEBE.JK,Low_TEBE.JK,Open_TEBE.JK,Volume_TEBE.JK
2019-11-18,1082.050048828125,1640.0,1640.0,1600.0,1600.0,13400
2019-11-19,1167.822265625,1770.0,2050.0,1740.0,2050.0,9562700
2019-11-20,1204.1104736328125,1825.0,1830.0,1750.0,1770.0,3990500
2019-11-21,1184.3167724609375,1795.0,1855.0,1750.0,1825.0,6333200
2019-11-22,1184.3167724609375,1795.0,1805.0,1785.0,1795.0,5159900
2019-11-25,1187.6158447265625,1800.0,1805.0,1785.0,1795.0,3676700
2019-11-26,1190.914794921875,1805.0,1815.0,1800.0,1800.0,3776500
2019-11-27,1190.914794921875,1805.0,1825.0,1805.0,1805.0,3625400
2019-11-28,1190.914794921875,1805.0,1815.0,1780.0,1805.0,3483600
2019-11-29,1210.70849609375,1835.0,1845.0,1805.0,1810.0,3457700
2019-12-02,1217.30615234375,1845.0,1850.0,1835.0,1840.0,3416800
2019-12-03,1214.00732421875,1840.0,1860.0,1830.0,1845.0,3383300
2019-12-04,1220.60498046875,1850.0,1850.0,1835.0,1840.0,3334400
2019-12-05,1227.202880859375,1860.0,1860.0,1825.0,1840.0,3950400
2019-12-06,1230.501708984375,1865.0,1865.0,1860.0,1865.0,3362000
2019-12-09,1230.501708984375,1865.0,1865.0,1860.0,1860.0,3300700
2019-12-10,1227.202880859375,1860.0,1865.0,1860.0,1860.0,3329100
2019-12-11,1230.501708984375,1865.0,1865.0,1860.0,1860.0,3410400
2019-12-12,1230.501708984375,1865.0,1870.0,1865.0,1865.0,3340800
2019-12-13,1230.501708984375,1865.0,1865.0,1855.0,1860.0,3298900
2019-12-16,1260.1923828125,1910.0,1910.0,1860.0,1860.0,3994600
2019-12-17,1263.4913330078125,1915.0,1920.0,1900.0,1910.0,3220800
2019-12-18,1270.089111328125,1925.0,1930.0,1910.0,1915.0,3561700
2019-12-19,1263.4913330078125,1915.0,1920.0,1915.0,1920.0,3965500
2019-12-20,1223.9039306640625,1855.0,1915.0,1855.0,1910.0,3567200
2019-12-23,1217.30615234375,1845.0,1860.0,1845.0,1855.0,3355100
2019-12-26,1214.00732421875,1840.0,1845.0,1835.0,1845.0,3388600
2019-12-27,1217.30615234375,1845.0,1850.0,1835.0,1840.0,3298100
2019-12-30,1210.70849609375,1835.0,1850.0,1835.0,1845.0,3536300
2020-01-02,1207.4095458984375,1830.0,1835.0,1830.0,1830.0,3364400
2020-01-03,1204.1104736328125,1825.0,1830.0,1825.0,1830.0,3422000
2020-01-06,1197.5125732421875,1815.0,1825.0,1810.0,1825.0,3608000
2020-01-07,1194.2135009765625,1810.0,1820.0,1805.0,1815.0,3537200
2020-01-08,1190.914794921875,1805.0,1810.0,1805.0,1810.0,3360200
2020-01-09,1214.00732421875,1840.0,1850.0,1805.0,1805.0,3403500
2020-01-10,1220.60498046875,1850.0,1860.0,1840.0,1840.0,3344100
2020-01-13,1223.9039306640625,1855.0,1870.0,1850.0,1850.0,3319700
2020-01-14,1220.60498046875,1850.0,1855.0,1850.0,1850.0,2748100
2020-01-15,1210.70849609375,1835.0,1850.0,1835.0,1850.0,3879200
2020-01-16,1207.4095458984375,1830.0,1840.0,1825.0,1830.0,3189600
2020-01-17,1207.4095458984375,1830.0,1830.0,1825.0,1825.0,3725000
2020-01-20,1204.1104736328125,1825.0,1830.0,1820.0,1825.0,2910400
2020-01-21,1200.8115234375,1820.0,1835.0,1820.0,1820.0,3978200
2020-01-22,1197.5125732421875,1815.0,1830.0,1815.0,1815.0,3542900
