Date,Adj Close_TLKM.JK,Close_TLKM.JK,High_TLKM.JK,Low_TLKM.JK,Open_TLKM.JK,Volume_TLKM.JK
2025-10-13,3020.0,3020.0,3070.0,2980.0,3020.0,46978500
2025-10-14,2960.0,2960.0,3070.0,2960.0,3050.0,38518800
2025-10-15,3080.0,3080.0,3090.0,2950.0,3000.0,67503700
2025-10-16,2950.0,2950.0,3020.0,2900.0,2970.0,103687000
2025-10-17,2880.0,2880.0,2960.0,2850.0,2950.0,82482200
2025-10-20,2940.0,2940.0,2970.0,2900.0,2930.0,96029300
2025-10-21,3280.0,3280.0,3290.0,2970.0,2970.0,223104600
2025-10-22,3150.0,3150.0,3220.0,3120.0,3220.0,128796800
2025-10-23,3360.0,3360.0,3400.0,3170.0,3180.0,218967200
2025-10-24,3290.0,3290.0,3440.0,3290.0,3370.0,115104000
2025-10-27,3330.0,3330.0,3360.0,3280.0,3320.0,105683900
2025-10-28,3400.0,3400.0,3480.0,3270.0,3330.0,143082100
2025-10-29,3290.0,3290.0,3390.0,3270.0,3390.0,93073800
2025-10-30,3250.0,3250.0,3310.0,3200.0,3290.0,83523100
2025-10-31,3210.0,3210.0,3250.0,3150.0,3200.0,126790400
2025-11-03,3350.0,3350.0,3380.0,3210.0,3210.0,107151300
2025-11-04,3500.0,3500.0,3590.0,3360.0,3360.0,227450800
2025-11-05,3540.0,3540.0,3630.0,3510.0,3600.0,182624300
2025-11-06,3480.0,3480.0,3550.0,3470.0,3540.0,71766000
2025-11-07,3470.0,3470.0,3490.0,3420.0,3460.0,58917900
2025-11-10,3440.0,3440.0,3550.0,3440.0,3490.0,88941900
2025-11-11,3520.0,3520.0,3530.0,3470.0,3500.0,63130300
2025-11-12,3560.0,3560.0,3590.0,3510.0,3540.0,61339600
2025-11-13,3500.0,3500.0,3570.0,3480.0,3570.0,57467900
2025-11-14,3550.0,3550.0,3560.0,3510.0,3530.0,55079600
2025-11-17,3610.0,3610.0,3630.0,3560.0,3570.0,76833800
2025-11-18,3620.0,3620.0,3630.0,3540.0,3610.0,97747000
2025-11-19,3650.0,3650.0,3690.0,3620.0,3620.0,109911100
2025-11-20,3640.0,3640.0,3660.0,3620.0,3650.0,52200700
2025-11-21,3500.0,3500.0,3610.0,3460.0,3590.0,93181600
2025-11-24,3700.0,3700.0,3700.0,3540.0,3560.0,241304000
2025-11-25,3650.0,3650.0,3690.0,3560.0,3690.0,84816600
2025-11-26,3720.0,3720.0,3720.0,3600.0,3600.0,111114600
2025-11-27,3570.0,3570.0,3700.0,3560.0,3700.0,48436500
2025-11-28,3510.0,3510.0,3630.0,3500.0,3600.0,70943000
2025-12-01,3650.0,3650.0,3650.0,3520.0,3530.0,89045500
2025-12-02,3560.0,3560.0,3670.0,3560.0,3660.0,62155900
2025-12-03,3580.0,3580.0,3650.0,3580.0,3590.0,60429900
2025-12-04,3630.0,3630.0,3660.0,3580.0,3660.0,38947500
2025-12-05,3700.0,3700.0,3700.0,3610.0,3630.0,50641400
2025-12-08,3630.0,3630.0,3700.0,3600.0,3700.0,64911000
2025-12-09,3570.0,3570.0,3650.0,3520.0,3650.0,94381800
2025-12-10,3640.0,3640.0,3700.0,3590.0,3620.0,68644900
2025-12-11,3570.0,3570.0,3690.0,3500.0,3670.0,84823100
2025-12-12,3550.0,3550.0,3630.0,3500.0,3630.0,67076200
2025-12-15,3470.0,3470.0,3560.0,3460.0,3550.0,121707400
2025-12-16,3520.0,3520.0,3550.0,3470.0,3490.0,120576700
2025-12-17,3500.0,3500.0,3590.0,3490.0,3540.0,118452300
2025-12-18,3460.0,3460.0,3580.0,3460.0,3540.0,111042200
2025-12-19,3410.0,3410.0,3520.0,3390.0,3520.0,236770700
2025-12-22,3470.0,3470.0,3490.0,3420.0,3440.0,113720300
2025-12-23,3470.0,3470.0,3470.0,3420.0,3470.0,39083700
2025-12-24,3460.0,3460.0,3500.0,3440.0,3480.0,30919800
