Date,Adj Close_TPIA.JK,Close_TPIA.JK,High_TPIA.JK,Low_TPIA.JK,Open_TPIA.JK,Volume_TPIA.JK
2025-10-13,8045.5966796875,8050.0,8350.0,7925.0,8000.0,24743900
2025-10-14,7470.9111328125,7475.0,8125.0,7250.0,8100.0,25378700
2025-10-15,7171.0751953125,7175.0,7600.0,7175.0,7550.0,17044400
2025-10-16,7146.0888671875,7150.0,7275.0,7150.0,7200.0,8230000
2025-10-17,6921.2119140625,6925.0,7200.0,6825.0,7150.0,10986500
2025-10-20,7021.1572265625,7025.0,7125.0,6950.0,7000.0,6296500
2025-10-21,7171.0751953125,7175.0,7175.0,7050.0,7050.0,5941900
2025-10-22,7071.1298828125,7075.0,7200.0,7025.0,7175.0,6510300
2025-10-23,7146.0888671875,7150.0,7175.0,7075.0,7100.0,3322300
2025-10-24,7271.0205078125,7275.0,7650.0,7150.0,7150.0,20083400
2025-10-27,7395.9521484375,7400.0,7650.0,7075.0,7350.0,25760900
2025-10-28,7146.0888671875,7150.0,7475.0,7075.0,7450.0,13533000
2025-10-29,7046.1435546875,7050.0,7200.0,7050.0,7175.0,6719100
2025-10-30,7046.1435546875,7050.0,7125.0,7025.0,7100.0,4353500
2025-10-31,6946.1982421875,6950.0,7150.0,6950.0,7100.0,8316000
2025-11-03,7146.0888671875,7150.0,7175.0,7000.0,7025.0,7776600
2025-11-04,6996.1708984375,7000.0,7250.0,7000.0,7200.0,8309100
2025-11-05,7021.1572265625,7025.0,7050.0,6950.0,7000.0,4810900
2025-11-06,7046.1435546875,7050.0,7175.0,7025.0,7050.0,6473900
2025-11-07,7046.1435546875,7050.0,7150.0,7000.0,7125.0,6587300
2025-11-10,7021.1572265625,7025.0,7150.0,7000.0,7075.0,11020500
2025-11-11,7050.0,7050.0,7075.0,6950.0,7050.0,8503500
2025-11-12,7025.0,7025.0,7300.0,7025.0,7100.0,15306500
2025-11-13,7000.0,7000.0,7100.0,7000.0,7100.0,7793400
2025-11-14,7000.0,7000.0,7050.0,6950.0,7000.0,5238200
2025-11-17,7100.0,7100.0,7150.0,7025.0,7050.0,6656600
2025-11-18,7500.0,7500.0,7650.0,7150.0,7150.0,40024000
2025-11-19,7200.0,7200.0,7650.0,7200.0,7600.0,15766900
2025-11-20,7200.0,7200.0,7300.0,7200.0,7225.0,5701600
2025-11-21,7275.0,7275.0,7275.0,7100.0,7150.0,5916400
2025-11-24,7150.0,7150.0,7300.0,7150.0,7250.0,37888100
2025-11-25,7175.0,7175.0,7200.0,7025.0,7150.0,9998400
2025-11-26,7175.0,7175.0,7225.0,7025.0,7175.0,10598900
2025-11-27,7375.0,7375.0,7450.0,7175.0,7200.0,16226300
2025-11-28,7400.0,7400.0,7550.0,7300.0,7375.0,12437400
2025-12-01,7400.0,7400.0,7550.0,7350.0,7500.0,8605600
2025-12-02,7775.0,7775.0,7875.0,7400.0,7400.0,26351200
2025-12-03,7800.0,7800.0,7875.0,7600.0,7825.0,17604400
2025-12-04,7625.0,7625.0,7825.0,7625.0,7825.0,9115100
2025-12-05,7600.0,7600.0,7750.0,7450.0,7625.0,10056100
2025-12-08,7400.0,7400.0,7650.0,7400.0,7600.0,9158500
2025-12-09,7175.0,7175.0,7425.0,7175.0,7400.0,14326900
2025-12-10,7050.0,7050.0,7250.0,7050.0,7225.0,11608900
2025-12-11,7175.0,7175.0,7175.0,7050.0,7100.0,7732000
2025-12-12,7050.0,7050.0,7225.0,7050.0,7225.0,6764900
2025-12-15,7050.0,7050.0,7250.0,7050.0,7050.0,8395000
2025-12-16,7175.0,7175.0,7175.0,7075.0,7150.0,5749000
2025-12-17,7050.0,7050.0,7200.0,7050.0,7175.0,4200800
2025-12-18,7000.0,7000.0,7125.0,7000.0,7050.0,5669000
2025-12-19,7175.0,7175.0,7175.0,7000.0,7025.0,12160500
2025-12-22,7050.0,7050.0,7175.0,7050.0,7150.0,3809900
2025-12-23,7000.0,7000.0,7100.0,7000.0,7075.0,3351200
2025-12-24,7000.0,7000.0,7075.0,7000.0,7000.0,2719800
