Date,Adj Close_TSPC.JK,Close_TSPC.JK,High_TSPC.JK,Low_TSPC.JK,Open_TSPC.JK,Volume_TSPC.JK
2025-10-13,2445.66650390625,2530.0,2540.0,2400.0,2400.0,1487000
2025-10-14,2416.66650390625,2500.0,2540.0,2460.0,2540.0,1387000
2025-10-15,2416.66650390625,2500.0,2540.0,2480.0,2500.0,1251000
2025-10-16,2484.333251953125,2570.0,2620.0,2500.0,2500.0,1645400
2025-10-17,2484.333251953125,2570.0,2610.0,2540.0,2570.0,1568000
2025-10-20,2571.333251953125,2660.0,2710.0,2560.0,2570.0,2744600
2025-10-21,2571.333251953125,2660.0,2680.0,2600.0,2680.0,2210400
2025-10-22,2581.0,2670.0,2700.0,2610.0,2660.0,728200
2025-10-23,2610.0,2700.0,2760.0,2670.0,2670.0,1026500
2025-10-24,2677.66650390625,2770.0,2780.0,2670.0,2700.0,2257900
2025-10-27,2697.0,2790.0,2840.0,2760.0,2790.0,1195700
2025-10-28,2706.66650390625,2800.0,2850.0,2770.0,2790.0,857400
2025-10-29,2658.333251953125,2750.0,2830.0,2730.0,2800.0,1492700
2025-10-30,2687.333251953125,2780.0,2780.0,2710.0,2750.0,1743900
2025-10-31,2755.0,2850.0,2940.0,2800.0,2810.0,3124300
2025-11-03,2929.0,3030.0,3070.0,2910.0,2910.0,4343500
2025-11-04,2871.0,2970.0,3050.0,2930.0,3040.0,2278400
2025-11-05,2861.333251953125,2960.0,2990.0,2940.0,2960.0,1221200
2025-11-06,2890.333251953125,2990.0,3030.0,2970.0,2980.0,2334100
2025-11-07,2900.0,3000.0,3040.0,2970.0,2990.0,3029400
2025-11-10,2870.0,2870.0,2910.0,2860.0,2900.0,2055000
2025-11-11,2920.0,2920.0,2960.0,2840.0,2870.0,1585700
2025-11-12,2930.0,2930.0,2990.0,2920.0,2920.0,938100
2025-11-13,2930.0,2930.0,2960.0,2890.0,2930.0,885900
2025-11-14,2920.0,2920.0,2930.0,2900.0,2910.0,210300
2025-11-17,2920.0,2920.0,2930.0,2890.0,2910.0,835800
2025-11-18,2890.0,2890.0,2930.0,2850.0,2920.0,1567200
2025-11-19,2840.0,2840.0,2890.0,2840.0,2890.0,824400
2025-11-20,2830.0,2830.0,2840.0,2790.0,2840.0,976500
2025-11-21,2790.0,2790.0,2820.0,2780.0,2820.0,498800
2025-11-24,2780.0,2780.0,2780.0,2730.0,2780.0,1057100
2025-11-25,2820.0,2820.0,2820.0,2770.0,2780.0,752000
2025-11-26,2810.0,2810.0,2850.0,2810.0,2820.0,500300
2025-11-27,2780.0,2780.0,2810.0,2760.0,2810.0,1080100
2025-11-28,2790.0,2790.0,2800.0,2760.0,2770.0,612900
2025-12-01,2750.0,2750.0,2800.0,2750.0,2790.0,547500
2025-12-02,2750.0,2750.0,2770.0,2720.0,2760.0,509500
2025-12-03,2740.0,2740.0,2750.0,2730.0,2740.0,378900
2025-12-04,2750.0,2750.0,2760.0,2730.0,2740.0,314300
2025-12-05,2750.0,2750.0,2750.0,2720.0,2750.0,309400
2025-12-08,2780.0,2780.0,2800.0,2730.0,2750.0,885400
2025-12-09,2740.0,2740.0,2790.0,2740.0,2780.0,610200
2025-12-10,2710.0,2710.0,2760.0,2710.0,2740.0,528700
2025-12-11,2670.0,2670.0,2750.0,2670.0,2710.0,1185800
2025-12-12,2770.0,2770.0,2780.0,2670.0,2690.0,3218400
2025-12-15,2840.0,2840.0,2870.0,2730.0,2790.0,1581000
2025-12-16,2880.0,2880.0,2900.0,2840.0,2860.0,1013600
2025-12-17,2860.0,2860.0,2920.0,2850.0,2880.0,740400
2025-12-18,2800.0,2800.0,2900.0,2790.0,2900.0,1814800
2025-12-19,2780.0,2780.0,2820.0,2770.0,2810.0,310300
2025-12-22,2760.0,2760.0,2780.0,2720.0,2780.0,653900
2025-12-23,2760.0,2760.0,2760.0,2720.0,2720.0,660500
2025-12-24,2760.0,2760.0,2760.0,2730.0,2760.0,391500
