Date,Adj Close_UNVR.JK,Close_UNVR.JK,High_UNVR.JK,Low_UNVR.JK,Open_UNVR.JK,Volume_UNVR.JK
2025-10-13,1788.80224609375,1850.0,1900.0,1815.0,1870.0,25615900
2025-10-14,1740.456298828125,1800.0,1870.0,1800.0,1870.0,26174800
2025-10-15,1774.2984619140625,1835.0,1855.0,1810.0,1825.0,23439100
2025-10-16,1919.33642578125,1985.0,2020.0,1860.0,1860.0,80433300
2025-10-17,1837.1483154296875,1900.0,1995.0,1885.0,1985.0,51732500
2025-10-20,2011.19384765625,2080.0,2130.0,1935.0,1935.0,86711600
2025-10-21,1982.186279296875,2050.0,2110.0,2020.0,2100.0,29597600
2025-10-22,2001.524658203125,2070.0,2150.0,2020.0,2050.0,49090900
2025-10-23,2185.239501953125,2260.0,2270.0,2140.0,2180.0,130049800
2025-10-24,2446.307861328125,2530.0,2700.0,2250.0,2260.0,267179900
2025-10-27,2620.353515625,2710.0,2840.0,2530.0,2580.0,277535000
2025-10-28,2407.631103515625,2490.0,2720.0,2450.0,2680.0,156918700
2025-10-29,2494.654052734375,2580.0,2610.0,2470.0,2510.0,73171300
2025-10-30,2475.3154296875,2560.0,2670.0,2560.0,2610.0,49537500
2025-10-31,2494.654052734375,2580.0,2660.0,2530.0,2600.0,63108200
2025-11-03,2581.6767578125,2670.0,2700.0,2590.0,2630.0,49127900
2025-11-04,2601.01513671875,2690.0,2750.0,2600.0,2700.0,57648100
2025-11-05,2601.01513671875,2690.0,2740.0,2660.0,2690.0,41343200
2025-11-06,2533.330810546875,2620.0,2680.0,2600.0,2660.0,29525900
2025-11-07,2446.307861328125,2530.0,2610.0,2520.0,2600.0,48504400
2025-11-10,2446.307861328125,2530.0,2600.0,2500.0,2570.0,49312800
2025-11-11,2407.631103515625,2490.0,2570.0,2460.0,2560.0,47905800
2025-11-12,2465.646240234375,2550.0,2590.0,2480.0,2490.0,35515000
2025-11-13,2407.631103515625,2490.0,2560.0,2490.0,2560.0,16292900
2025-11-14,2426.969482421875,2510.0,2560.0,2490.0,2490.0,16720600
2025-11-17,2504.3232421875,2590.0,2620.0,2520.0,2540.0,37359900
2025-11-18,2426.969482421875,2510.0,2630.0,2510.0,2610.0,28725900
2025-11-19,2494.654052734375,2580.0,2580.0,2520.0,2520.0,13777400
2025-11-20,2513.992431640625,2600.0,2620.0,2560.0,2600.0,20738000
2025-11-21,2455.97705078125,2540.0,2670.0,2540.0,2600.0,27647200
2025-11-24,2581.6767578125,2670.0,2670.0,2560.0,2560.0,32673700
2025-11-25,2543.0,2630.0,2670.0,2580.0,2670.0,25207700
2025-11-26,2513.992431640625,2600.0,2690.0,2590.0,2640.0,21031000
2025-11-27,2513.992431640625,2600.0,2630.0,2560.0,2620.0,34235900
2025-11-28,2513.992431640625,2600.0,2640.0,2590.0,2620.0,18013700
2025-12-01,2533.330810546875,2620.0,2650.0,2570.0,2570.0,17322300
2025-12-02,2562.33837890625,2650.0,2670.0,2600.0,2620.0,35263000
2025-12-03,2678.368896484375,2770.0,2800.0,2670.0,2670.0,65741000
2025-12-04,2678.368896484375,2770.0,2810.0,2690.0,2800.0,40071400
2025-12-05,2620.353515625,2710.0,2790.0,2710.0,2780.0,34350200
2025-12-08,2533.330810546875,2620.0,2730.0,2620.0,2730.0,34429000
2025-12-09,2581.6767578125,2670.0,2710.0,2590.0,2620.0,44953900
2025-12-10,2639.69189453125,2730.0,2750.0,2670.0,2710.0,29651800
2025-12-11,2552.669189453125,2640.0,2740.0,2600.0,2730.0,30830400
2025-12-12,2543.0,2630.0,2660.0,2600.0,2640.0,14728100
2025-12-15,2580.0,2580.0,2610.0,2570.0,2590.0,18476400
2025-12-16,2710.0,2710.0,2710.0,2580.0,2580.0,32058000
2025-12-17,2630.0,2630.0,2700.0,2630.0,2700.0,20817800
2025-12-18,2650.0,2650.0,2680.0,2620.0,2630.0,17521000
2025-12-19,2770.0,2770.0,2770.0,2610.0,2660.0,28983500
2025-12-22,2700.0,2700.0,2730.0,2670.0,2730.0,22606200
2025-12-23,2610.0,2610.0,2700.0,2610.0,2690.0,17218500
2025-12-24,2600.0,2600.0,2620.0,2590.0,2620.0,10056300
